ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.deepgram.com,140.193,139.46,145.279,1.707,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.rev.ai,,,,,100,True
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,italynorth.stt.speech.microsoft.com,10.344,10.318,10.371,0.015,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.openai.com,1.92,0.952,9.978,2.686,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.groq.com,1.453,1.425,1.487,0.02,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.mistral.ai,0.96,0.899,1.078,0.046,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.deepgram.com,139.506,139.403,139.629,0.066,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,api.openai.com,1.048,0.934,1.418,0.131,0,False
2026-05-05 18:00:02.005787+00:00,2026-05-05,18,italynorth.tts.speech.microsoft.com,10.151,10.111,10.445,0.097,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.deepgram.com,138.753,138.67,138.79,0.03,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.rev.ai,,,,,100,True
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,italynorth.stt.speech.microsoft.com,10.336,10.316,10.366,0.012,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.openai.com,1.082,1.046,1.151,0.028,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.groq.com,1.8,1.772,1.835,0.018,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.mistral.ai,0.901,0.862,0.976,0.029,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.deepgram.com,143.092,142.814,143.842,0.372,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,api.openai.com,1.133,1.071,1.244,0.063,0,False
2026-05-06 00:00:02.526497+00:00,2026-05-06,0,italynorth.tts.speech.microsoft.com,10.136,10.11,10.199,0.025,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.deepgram.com,101.463,101.42,101.565,0.044,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.rev.ai,,,,,100,True
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,italynorth.stt.speech.microsoft.com,10.229,10.191,10.293,0.027,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.openai.com,1.094,1.067,1.147,0.025,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.groq.com,0.963,0.915,1.021,0.031,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.mistral.ai,1.071,1.022,1.214,0.052,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.deepgram.com,139.022,138.979,139.085,0.03,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,api.openai.com,1.085,1.053,1.15,0.027,0,False
2026-05-06 05:30:01.669709+00:00,2026-05-06,5,italynorth.tts.speech.microsoft.com,10.114,10.101,10.141,0.011,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.deepgram.com,142.827,142.747,142.948,0.057,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.rev.ai,,,,,100,True
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,italynorth.stt.speech.microsoft.com,10.371,10.323,10.482,0.049,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.openai.com,1.193,1.142,1.298,0.045,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.groq.com,0.967,0.917,1.017,0.029,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.mistral.ai,1.059,1.019,1.122,0.028,0,False
