date,endpoint,handshake_ms,tls_version
2026-05-21,api.deepgram.com,,
2026-05-21,api.rev.ai,,
2026-05-21,italynorth.stt.speech.microsoft.com,,
2026-05-21,api.openai.com,,
2026-05-21,api.groq.com,,
2026-05-21,api.mistral.ai,,
2026-05-21,api.deepgram.com,,
2026-05-21,api.openai.com,,
2026-05-21,italynorth.tts.speech.microsoft.com,,
2026-05-22,api.deepgram.com,,
2026-05-22,api.rev.ai,,
2026-05-22,italynorth.stt.speech.microsoft.com,,
2026-05-22,api.openai.com,,
2026-05-22,api.groq.com,,
2026-05-22,api.mistral.ai,,
2026-05-22,api.deepgram.com,,
2026-05-22,api.openai.com,,
2026-05-22,italynorth.tts.speech.microsoft.com,,
