ts,date,hour,endpoint,anycast_likely,ttl,primary_ip,ip_count
2026-06-01 00:01:03.230767+00:00,2026-06-01,0,api.deepgram.com,True,10,66.103.225.59,2
2026-06-01 00:01:08.123525+00:00,2026-06-01,0,api.rev.ai,False,60,54.71.42.79,3
2026-06-01 00:01:09.248821+00:00,2026-06-01,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-01 00:01:18.015601+00:00,2026-06-01,0,api.openai.com,False,9,162.159.140.245,2
2026-06-01 00:01:22.500623+00:00,2026-06-01,0,api.groq.com,False,300,172.64.149.20,2
2026-06-01 00:01:27.573555+00:00,2026-06-01,0,api.mistral.ai,False,120,172.66.2.203,2
2026-06-01 00:01:31.657889+00:00,2026-06-01,0,api.deepgram.com,True,10,66.103.225.59,2
2026-06-01 00:01:34.368721+00:00,2026-06-01,0,api.openai.com,False,46,172.66.0.243,2
2026-06-01 00:01:36.581589+00:00,2026-06-01,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-01 05:31:03.180207+00:00,2026-06-01,5,api.deepgram.com,True,10,38.104.135.212,2
2026-06-01 05:31:21.738927+00:00,2026-06-01,5,api.rev.ai,False,60,52.88.192.16,3
2026-06-01 05:31:53.141605+00:00,2026-06-01,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-01 05:32:09.438496+00:00,2026-06-01,5,api.openai.com,False,18,162.159.140.245,2
2026-06-01 05:32:26.335842+00:00,2026-06-01,5,api.groq.com,False,205,104.18.38.236,2
2026-06-01 05:32:49.835797+00:00,2026-06-01,5,api.mistral.ai,False,277,172.66.2.203,2
2026-06-01 05:33:12.826200+00:00,2026-06-01,5,api.deepgram.com,True,10,38.246.42.149,2
2026-06-01 05:33:31.771454+00:00,2026-06-01,5,api.openai.com,False,13,172.66.0.243,2
2026-06-01 05:33:49.738178+00:00,2026-06-01,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-01 06:01:02.684489+00:00,2026-06-01,6,api.deepgram.com,True,10,66.103.225.59,3
2026-06-01 06:01:07.526731+00:00,2026-06-01,6,api.rev.ai,False,60,54.69.164.121,3
2026-06-01 06:01:09.588127+00:00,2026-06-01,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-01 06:01:13.859090+00:00,2026-06-01,6,api.openai.com,False,41,172.66.0.243,2
2026-06-01 06:01:22.037437+00:00,2026-06-01,6,api.groq.com,False,267,172.64.149.20,2
2026-06-01 06:01:23.107561+00:00,2026-06-01,6,api.mistral.ai,False,258,172.66.2.203,2
2026-06-01 06:01:31.380549+00:00,2026-06-01,6,api.deepgram.com,True,10,208.184.56.200,3
2026-06-01 06:01:38.793524+00:00,2026-06-01,6,api.openai.com,False,20,172.66.0.243,2
2026-06-01 06:01:45.542998+00:00,2026-06-01,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-01 12:01:02.793293+00:00,2026-06-01,12,api.deepgram.com,True,10,38.104.135.212,2
