ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-06-02 05:31:02.336887+00:00,2026-06-02,5,api.deepgram.com,140.074,140.006,140.174,0.056,0,False
2026-06-02 05:31:27.443587+00:00,2026-06-02,5,api.rev.ai,,,,,100,True
2026-06-02 05:31:39.350084+00:00,2026-06-02,5,italynorth.stt.speech.microsoft.com,9.643,9.618,9.669,0.015,0,False
2026-06-02 05:31:48.337300+00:00,2026-06-02,5,api.openai.com,1.287,1.2,1.523,0.092,0,False
2026-06-02 05:32:14.023660+00:00,2026-06-02,5,api.groq.com,1.141,1.033,1.313,0.086,0,False
2026-06-02 05:32:35.328570+00:00,2026-06-02,5,api.mistral.ai,1.349,1.312,1.397,0.033,0,False
2026-06-02 05:32:50.273067+00:00,2026-06-02,5,api.deepgram.com,102.585,102.518,102.762,0.068,0,False
2026-06-02 05:33:18.877830+00:00,2026-06-02,5,api.openai.com,1.315,1.274,1.366,0.025,0,False
2026-06-02 05:33:31.377244+00:00,2026-06-02,5,italynorth.tts.speech.microsoft.com,15.979,15.962,16.022,0.02,0,False
2026-06-02 06:01:02.197770+00:00,2026-06-02,6,api.deepgram.com,136.83,136.64,138.238,0.479,0,False
2026-06-02 06:01:09.112962+00:00,2026-06-02,6,api.rev.ai,,,,,100,True
2026-06-02 06:01:11.373833+00:00,2026-06-02,6,italynorth.stt.speech.microsoft.com,10.454,10.387,10.731,0.109,0,False
2026-06-02 06:01:18.933629+00:00,2026-06-02,6,api.openai.com,1.292,1.266,1.362,0.025,0,False
2026-06-02 06:01:26.023565+00:00,2026-06-02,6,api.groq.com,0.921,0.834,1.103,0.082,0,False
2026-06-02 06:01:31.447480+00:00,2026-06-02,6,api.mistral.ai,1.109,1.035,1.259,0.065,0,False
2026-06-02 06:01:32.597497+00:00,2026-06-02,6,api.deepgram.com,101.078,101.036,101.179,0.046,0,False
2026-06-02 06:01:34.634000+00:00,2026-06-02,6,api.openai.com,1.276,1.24,1.378,0.041,0,False
2026-06-02 06:01:43.281062+00:00,2026-06-02,6,italynorth.tts.speech.microsoft.com,10.727,10.688,10.775,0.028,0,False
2026-06-02 12:01:03.955471+00:00,2026-06-02,12,api.deepgram.com,143.89,143.86,143.952,0.034,0,False
2026-06-02 12:01:09.555701+00:00,2026-06-02,12,api.rev.ai,,,,,100,True
2026-06-02 12:01:14.519890+00:00,2026-06-02,12,italynorth.stt.speech.microsoft.com,10.791,10.771,10.844,0.02,0,False
2026-06-02 12:01:19.600354+00:00,2026-06-02,12,api.openai.com,1.366,1.315,1.494,0.042,0,False
2026-06-02 12:01:25.757410+00:00,2026-06-02,12,api.groq.com,1.371,1.34,1.415,0.021,0,False
2026-06-02 12:01:34.261802+00:00,2026-06-02,12,api.mistral.ai,1.008,0.938,1.121,0.045,0,False
2026-06-02 12:01:42.801672+00:00,2026-06-02,12,api.deepgram.com,145.35,145.286,145.538,0.071,0,False
2026-06-02 12:01:48.193069+00:00,2026-06-02,12,api.openai.com,1.255,1.217,1.318,0.028,0,False
2026-06-02 12:01:57.032322+00:00,2026-06-02,12,italynorth.tts.speech.microsoft.com,10.892,10.866,10.93,0.02,0,False
2026-06-02 18:01:03.031968+00:00,2026-06-02,18,api.deepgram.com,151.167,150.935,152.133,0.392,0,False
2026-06-02 18:01:07.553691+00:00,2026-06-02,18,api.rev.ai,,,,,100,True
2026-06-02 18:01:15.426665+00:00,2026-06-02,18,italynorth.stt.speech.microsoft.com,9.776,9.758,9.809,0.016,0,False
2026-06-02 18:01:18.625319+00:00,2026-06-02,18,api.openai.com,1.031,0.991,1.114,0.043,0,False
2026-06-02 18:01:24.432067+00:00,2026-06-02,18,api.groq.com,1.4,1.363,1.473,0.028,0,False
2026-06-02 18:01:25.751298+00:00,2026-06-02,18,api.mistral.ai,1.015,0.947,1.131,0.043,0,False
2026-06-02 18:01:28.778095+00:00,2026-06-02,18,api.deepgram.com,141.572,141.492,141.689,0.058,0,False
2026-06-02 18:01:29.880979+00:00,2026-06-02,18,api.openai.com,1.054,1.005,1.188,0.063,0,False
2026-06-02 18:01:32.799263+00:00,2026-06-02,18,italynorth.tts.speech.microsoft.com,9.988,9.952,10.05,0.026,0,False
2026-06-03 00:01:02.624320+00:00,2026-06-03,0,api.deepgram.com,144.181,144.054,144.797,0.217,0,False
2026-06-03 00:01:08.358702+00:00,2026-06-03,0,api.rev.ai,,,,,100,True
2026-06-03 00:01:09.843746+00:00,2026-06-03,0,italynorth.stt.speech.microsoft.com,10.298,10.27,10.382,0.034,0,False
2026-06-03 00:01:16.458762+00:00,2026-06-03,0,api.openai.com,1.493,1.455,1.555,0.031,0,False
2026-06-03 00:01:20.914408+00:00,2026-06-03,0,api.groq.com,1.575,1.505,1.683,0.051,0,False
2026-06-03 00:01:23.163234+00:00,2026-06-03,0,api.mistral.ai,0.831,0.791,0.937,0.038,0,False
2026-06-03 00:01:25.524091+00:00,2026-06-03,0,api.deepgram.com,157.406,157.012,158.228,0.37,0,False
2026-06-03 00:01:30.013805+00:00,2026-06-03,0,api.openai.com,1.081,1.041,1.134,0.031,0,False
2026-06-03 00:01:34.992557+00:00,2026-06-03,0,italynorth.tts.speech.microsoft.com,11.089,11.059,11.152,0.027,0,False
2026-06-03 05:31:03.202027+00:00,2026-06-03,5,api.deepgram.com,146.319,146.247,146.757,0.15,0,False
2026-06-03 05:31:23.852461+00:00,2026-06-03,5,api.rev.ai,,,,,100,True
2026-06-03 05:31:49.667299+00:00,2026-06-03,5,italynorth.stt.speech.microsoft.com,10.306,10.294,10.324,0.008,0,False
2026-06-03 05:32:12.662724+00:00,2026-06-03,5,api.openai.com,1.369,1.288,1.591,0.087,0,False
2026-06-03 05:32:33.782478+00:00,2026-06-03,5,api.groq.com,0.992,0.96,1.041,0.023,0,False
2026-06-03 05:32:47.627529+00:00,2026-06-03,5,api.mistral.ai,1.285,1.209,1.519,0.091,0,False
2026-06-03 05:33:14.769297+00:00,2026-06-03,5,api.deepgram.com,140.584,140.433,141.43,0.297,0,False
2026-06-03 05:33:39.699507+00:00,2026-06-03,5,api.openai.com,1.181,1.144,1.253,0.027,0,False
2026-06-03 05:34:01.414164+00:00,2026-06-03,5,italynorth.tts.speech.microsoft.com,10.828,10.567,11.837,0.409,0,False
2026-06-03 06:01:03.740126+00:00,2026-06-03,6,api.deepgram.com,136.408,136.259,137.271,0.308,0,False
2026-06-03 06:01:09.038229+00:00,2026-06-03,6,api.rev.ai,,,,,100,True
2026-06-03 06:01:14.411862+00:00,2026-06-03,6,italynorth.stt.speech.microsoft.com,10.304,10.157,10.979,0.249,0,False
2026-06-03 06:01:17.736348+00:00,2026-06-03,6,api.openai.com,1.047,1.006,1.132,0.04,0,False
2026-06-03 06:01:20.806606+00:00,2026-06-03,6,api.groq.com,1.531,1.479,1.585,0.034,0,False
2026-06-03 06:01:21.958047+00:00,2026-06-03,6,api.mistral.ai,1.022,0.97,1.201,0.071,0,False
2026-06-03 06:01:26.699215+00:00,2026-06-03,6,api.deepgram.com,104.451,103.347,110.869,2.243,0,False
