provider,main_ip,n_ips,asn,asn_org,tls_version,cipher,alpn,rtt_ms,tcp_hs_ms,tls_hs_ms,proto_setup_ms,app_data_start_ms,effektive_RTTs
azure_stt,4.232.100.212,1,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,10.26,18.46,12.72,414.03,445.99,43.4
azure_tts,4.232.100.220,1,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,10.38,11.92,12.41,72.67,97.74,9.4
deepgram_stt,38.104.135.212,1,174,"COGENT-174 - Cogent Communications, LLC, US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,137.81,148.44,150.21,178.55,478.17,3.5
deepgram_tts,208.184.56.200,1,6461,"ZAYO-6461 - Zayo Bandwidth, US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,137.81,142.88,144.96,333.36,622.04,4.5
groq_llm,172.64.149.20,2,13335,"CLOUDFLARENET - Cloudflare, Inc., US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,1.37,1.33,3.26,50.67,55.79,40.7
mistral_llm,162.159.142.207,2,13335,"CLOUDFLARENET - Cloudflare, Inc., US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,1.05,0.97,6.54,65.61,73.71,70.5
openai_llm,172.66.0.243,1,13335,"CLOUDFLARENET - Cloudflare, Inc., US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,1.21,0.94,3.1,164.76,169.31,140.2
openai_tts,172.66.0.243,2,13335,"CLOUDFLARENET - Cloudflare, Inc., US",TLSv1.3,TLS_AES_256_GCM_SHA384,h2,1.21,1.62,3.15,49.56,54.83,45.4
revai_stt,35.161.182.141,1,16509,"AMAZON-02 - Amazon.com, Inc., US",TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,144.24,142.69,142.8,,,
